RANK,COMPANY,CAGR_PCT,HEADQUARTERS,CATEGORY,REVENUE_2023_EUR,REVENUE_2020_EUR,EMPLOYEES_2023,EMPLOYEES_2020,FOUNDING_YEAR
683,Sun-Times,49.9,Italy,Advertising & Marketing,8959911,2660737,59,15,2006
684,Superprof,49.6,France,Education & Social Services,37290252,11146268,160,40,2013
685,Liota Bau,49.5,Germany,Construction & Engineering,6457154,1931342,28,19,2019
686,Montis-Q,49.5,"Netherlands, Kingdom of the","Fintech, Financial Services & Insurance",3536054,1059263,14,5,2018
687,Tecnoplast,49.4,Italy,Construction & Engineering,87514830,26237403,207,155,2003
688,Justnails,49.4,Germany,Wholesale,1840336,551947,13,4,2017
689,Landwärme,49.3,Germany,Energy & Utilities,806587650,242321698,113,49,2007
690,Autenti,49.2,Poland,IT & Software,4865771,1394346,65,30,2012
691,Tosla Nutricosmetics,49.1,Slovenia,Manufacturing,19578220,5908600,28,9,2014
692,Matchingham Games,49,United Kingdom of Great Britain and Northern Ireland,IT & Software,41432828,12131973,64,5,2020
693,Place des Energies,49,France,Energy & Utilities,7216356,2182972,30,15,2013
694,Epassi,49,Finland,"Fintech, Financial Services & Insurance",678601894,205312456,232,77,2007
695,Calicantus,48.9,Italy,Ecommerce,22980000,6964561,31,24,2007
696,Arcipelago,48.9,Italy,Energy & Utilities,118139229,35807373,112,58,1999
697,my Boo,48.8,Germany,Ecommerce,15512612,4706126,117,59,2013
698,F4 Ingegneria Future 4 Engineering,48.8,Italy,Construction & Engineering,4384586,1332129,12,6,2012
699,Active Technologies,48.7,Italy,Manufacturing,3784624,1150109,13,11,2003
700,Wolf & Badger,48.7,United Kingdom of Great Britain and Northern Ireland,Ecommerce,39358013,11604665,100,55,2010
701,Arlettie,48.7,France,Apparel & Fashion,89058000,27109000,66,43,2004
702,Esco Gas,48.7,Italy,Energy & Utilities,1568873,477622,8,7,2012
703,Mirror,48.5,Italy,Advertising & Marketing,4838511,1476507,35,8,2011
704,Living Quarter,48.4,Germany,Health Care & Life Sciences,16437134,5026515,154,42,2015
705,RedAbissi,48.3,Italy,IT & Software,1683000,516000,11,3,2018
706,European Tech Recruit,48.3,United Kingdom of Great Britain and Northern Ireland,Employment Services,28976979,8609681,50,39,2009
